t, x1, y1, x2, y2
114614.770262, 64311.257842, -66889.539289, 1453796180.054544, 819873900.757607
114781.759723, 64538.646029, -67004.279843, 1451429572.373901, 824015165.487511
114948.749184, 64766.414642, -67118.804151, 1449051040.129912, 828149651.960905
115115.738645, 64994.563072, -67233.111122, 1446660602.454407, 832277325.959219
115282.728106, 65223.090705, -67347.199667, 1444258278.576649, 836398153.316400
115449.717567, 65451.996924, -67461.068696, 1441844087.823201, 840512099.919181
115616.707028, 65681.281110, -67574.717123, 1439418049.617784, 844619131.707359
115783.696489, 65910.942640, -67688.143864, 1436980183.481147, 848719214.674061
115950.685950, 66140.980887, -67801.347835, 1434530509.030923, 852812314.866020
116117.675411, 66371.395224, -67914.327954, 1432069045.981493, 856898398.383847
116284.664872, 66602.185018, -68027.083143, 1429595814.143843, 860977431.382299
116451.654333, 66833.349633, -68139.612322, 1427110833.425429, 865049380.070550
116618.643794, 67064.888433, -68251.914415, 1424614123.830030, 869114210.712465
116785.633255, 67296.800774, -68363.988349, 1422105705.457613, 873171889.626867
116952.622716, 67529.086015, -68475.833050, 1419585598.504182, 877222383.187811
117119.612177, 67761.743506, -68587.447447, 1417053823.261641, 881265657.824846
117286.601638, 67994.772597, -68698.830471, 1414510400.117648, 885301680.023294
117453.591099, 68228.172635, -68809.981055, 1411955349.555471, 889330416.324511
117620.580560, 68461.942964, -68920.898133, 1409388692.153841, 893351833.326159
117787.570021, 68696.082924, -69031.580641, 1406810448.586806, 897365897.682475
117954.559482, 68930.591851, -69142.027518, 1404220639.623586, 901372576.104539
118121.548943, 69165.469082, -69252.237702, 1401619286.128422, 905371835.360537
118288.538404, 69400.713946, -69362.210136, 1399006409.060430, 909363642.276035
118455.527865, 69636.325773, -69471.943763, 1396382029.473454, 913347963.734243
118622.517326, 69872.303887, -69581.437528, 1393746168.515909, 917324766.676280
118789.506787, 70108.647612, -69690.690380, 1391098847.430638, 921294018.101442
118956.496248, 70345.356265, -69799.701265, 1388440087.554756, 925255685.067470
119123.485709, 70582.429164, -69908.469137, 1385769910.319500, 929209734.690810
119290.475170, 70819.865622, -70016.992947, 1383088337.250075, 933156134.146885
119457.464631, 71057.664949, -70125.271650, 1380395389.965502, 937094850.670355
119624.454092, 71295.826452, -70233.304202, 1377691090.178463, 941025851.555382
